bucket,state,commodity,market,model_used,RMSE,MAE,Avg_Deviation,Directional_Accuracy,Naive_MAE,Naive_RMSE,MA7_MAE,MA7_RMSE,Improve_MAE_vs_Naive,Improve_RMSE_vs_Naive
Bucket1,Andaman and Nicobar,Rice,Retail,ARIMA,0.4258079945005566,0.37528005764903655,0.37528005764903655,0.3448275862068966,0.3033333333333329,0.36046266565808605,0.3243809523809548,0.37869611603411174,-0.2371870024566486,-0.18128182163301076
Bucket1,Andhra Pradesh,Rice,Retail,ARIMA,0.4300141421016591,0.3750494971248441,0.3750494971248441,0.20689655172413793,0.3033333333333329,0.3660601043544623,0.32685714285714745,0.3861871880548218,-0.23642691281895947,-0.17470911692294092
Bucket1,Arunachal pradesh,Rice,Retail,ARIMA,0.43247010230213717,0.37758576461471827,0.37758576461471827,0.2413793103448276,0.3033333333333329,0.3660601043544623,0.3268571428571413,0.38618718805481644,-0.24478823418658427,-0.18141828889922035
Bucket1,Assam,Rice,Retail,ARIMA,0.4295148046053049,0.37448555259333055,0.37448555259333055,0.2413793103448276,0.3033333333333329,0.3660601043544623,0.3268571428571413,0.38618718805481644,-0.23456775502889007,-0.17334503083693953
Bucket1,Bihar,Rice,Retail,ARIMA,0.4294686842195956,0.37447179798026725,0.37447179798026725,0.20689655172413793,0.3033333333333329,0.3660601043544623,0.3268571428571413,0.38618718805481644,-0.2345224101508089,-0.17321903954470455
Bucket1,Chandigarh,Rice,Retail,ARIMA,0.4370648366319788,0.38370065914940404,0.38370065914940404,0.1724137931034483,0.32299999999999945,0.38219105170058587,0.3465238095238078,0.4028376388389064,-0.18792773672283886,-0.1435768434233385
Bucket1,Chhattisgarh,Rice,Retail,ARIMA,0.4294686842195956,0.37447179798026725,0.37447179798026725,0.20689655172413793,0.3033333333333329,0.3660601043544623,0.3268571428571413,0.38618718805481644,-0.2345224101508089,-0.17321903954470455
Bucket1,Delhi,Rice,Retail,ARIMA,0.4294686842195956,0.37447179798026725,0.37447179798026725,0.20689655172413793,0.3033333333333329,0.3660601043544623,0.3268571428571413,0.38618718805481644,-0.2345224101508089,-0.17321903954470455
Bucket1,DNH and DD,Rice,Retail,ARIMA,0.4160564003164726,0.35990061189988864,0.35990061189988864,0.27586206896551724,0.3033333333333329,0.3660601043544623,0.3268571428571413,0.38618718805481644,-0.18648553312111085,-0.13657947214323737
Bucket1,Goa,Rice,Retail,ARIMA,0.3234590627724262,0.28531862422002185,0.28531862422002185,0.3103448275862069,0.21933333333333305,0.2662580202234918,0.3359999999999978,0.36976642747057553,-0.3008447899050643,-0.21483312422321701
Bucket1,Gujarat,Rice,Retail,ARIMA,0.4294686842195956,0.37447179798026725,0.37447179798026725,0.20689655172413793,0.3033333333333329,0.3660601043544623,0.3268571428571413,0.38618718805481644,-0.2345224101508089,-0.17321903954470455
Bucket1,Haryana,Rice,Retail,ARIMA,0.4294686842195956,0.37447179798026725,0.37447179798026725,0.20689655172413793,0.3033333333333329,0.3660601043544623,0.3268571428571413,0.38618718805481644,-0.2345224101508089,-0.17321903954470455
Bucket1,Himachal Pradesh,Rice,Retail,ARIMA,0.4294686842195956,0.37447179798026725,0.37447179798026725,0.20689655172413793,0.3033333333333329,0.3660601043544623,0.3268571428571413,0.38618718805481644,-0.2345224101508089,-0.17321903954470455
Bucket1,Jammu and Kashmir,Rice,Retail,ARIMA,0.43117618622981424,0.3760013845093809,0.3760013845093809,0.3448275862068966,0.3033333333333329,0.3660601043544623,0.3268571428571413,0.38618718805481644,-0.23956500308730697,-0.17788357956215667
Bucket1,Jharkhand,Rice,Retail,ARIMA,0.4294686842195956,0.37447179798026725,0.37447179798026725,0.20689655172413793,0.3033333333333329,0.3660601043544623,0.3268571428571413,0.38618718805481644,-0.2345224101508089,-0.17321903954470455
Bucket1,Karnataka,Rice,Retail,ARIMA,0.4294686842195956,0.37447179798026725,0.37447179798026725,0.20689655172413793,0.3033333333333329,0.3660601043544623,0.3268571428571413,0.38618718805481644,-0.2345224101508089,-0.17321903954470455
Bucket1,Kerala,Rice,Retail,ARIMA,0.3311328559145326,0.2837863574144213,0.2837863574144213,0.3448275862068966,0.2483333333333325,0.3025282355968329,0.26776190476190653,0.3175528238236407,-0.14276385478520173,-0.0945519024586784
Bucket1,Madhya Pradesh,Rice,Retail,ARIMA,0.4294686842195956,0.37447179798026725,0.37447179798026725,0.20689655172413793,0.3033333333333329,0.3660601043544623,0.3268571428571413,0.38618718805481644,-0.2345224101508089,-0.17321903954470455
Bucket1,Maharashtra,Rice,Retail,ARIMA,0.4294686842195956,0.37447179798026725,0.37447179798026725,0.20689655172413793,0.3033333333333329,0.3660601043544623,0.3268571428571413,0.38618718805481644,-0.2345224101508089,-0.17321903954470455
Bucket1,Meghalaya,Rice,Retail,ARIMA,0.4294686842195956,0.37447179798026725,0.37447179798026725,0.20689655172413793,0.3033333333333329,0.3660601043544623,0.3268571428571413,0.38618718805481644,-0.2345224101508089,-0.17321903954470455
Bucket1,Mizoram,Rice,Retail,ARIMA,0.42453958436461453,0.36917714829364384,0.36917714829364384,0.2413793103448276,0.3033333333333329,0.3660601043544623,0.32685714285714745,0.3861871880548218,-0.21706752113157202,-0.15975376490023557
Bucket1,Nagaland,Rice,Retail,ARIMA,0.4289969465652299,0.37989137337206386,0.37989137337206386,0.3793103448275862,0.2963333333333329,0.3525100471381392,0.31738095238095476,0.37067606922934937,-0.2819731375368659,-0.21697792681676276
