bucket,state,commodity,market,state_score,stability,reliability,margin_strength,MAE,RMSE,Directional_Accuracy,rank_in_group
Bucket1,Andaman and Nicobar,Rice,Retail,0.25380320294672265,0.9413261980035111,0.7271246277717743,-3871.36,0.37528005764903655,0.4258079945005566,0.3448275862068966,6.0
Bucket1,Andhra Pradesh,Rice,Retail,0.1621440930719245,0.9408224804984417,0.727246547917691,-3871.36,0.3750494971248441,0.4300141421016591,0.20689655172413793,18.0
Bucket1,Arunachal pradesh,Rice,Retail,0.17460044427191584,0.9409119846992642,0.7259076172870289,-3871.36,0.37758576461471827,0.43247010230213717,0.2413793103448276,14.0
Bucket1,Assam,Rice,Retail,0.169946289541634,0.9408604429117104,0.7275449335303928,-3871.36,0.37448555259333055,0.4295148046053049,0.2413793103448276,15.0
Bucket1,Bihar,Rice,Retail,0.16464073514451077,0.9408312823978278,0.7275522142174623,-3871.36,0.37447179798026725,0.4294686842195956,0.20689655172413793,16.0
Bucket1,Chandigarh,Rice,Retail,0.17501283637848608,0.9409653072484836,0.722699662956528,-3871.36,0.38370065914940404,0.4370648366319788,0.1724137931034483,13.0
Bucket1,Chhattisgarh,Rice,Retail,0.16464073514451077,0.9408312823978278,0.7275522142174623,-3871.36,0.37447179798026725,0.4294686842195956,0.20689655172413793,16.0
Bucket1,Delhi,Rice,Retail,0.16464073514451077,0.9408312823978278,0.7275522142174623,-3871.36,0.37447179798026725,0.4294686842195956,0.20689655172413793,16.0
Bucket1,DNH and DD,Rice,Retail,0.2953848628854282,0.9414229325352658,0.7353478564899835,-3871.36,0.35990061189988864,0.4160564003164726,0.27586206896551724,4.0
Bucket1,Goa,Rice,Retail,0.46775608185917444,0.9416873374970379,0.7780172022379559,-3871.36,0.28531862422002185,0.3234590627724262,0.3103448275862069,3.0
Bucket1,Gujarat,Rice,Retail,0.16464073514451077,0.9408312823978278,0.7275522142174623,-3871.36,0.37447179798026725,0.4294686842195956,0.20689655172413793,16.0
Bucket1,Haryana,Rice,Retail,0.16464073514451077,0.9408312823978278,0.7275522142174623,-3871.36,0.37447179798026725,0.4294686842195956,0.20689655172413793,16.0
Bucket1,Himachal Pradesh,Rice,Retail,0.16464073514451077,0.9408312823978278,0.7275522142174623,-3871.36,0.37447179798026725,0.4294686842195956,0.20689655172413793,16.0
Bucket1,Jammu and Kashmir,Rice,Retail,0.252189473293602,0.9413234314342872,0.7267434548087713,-3871.36,0.3760013845093809,0.43117618622981424,0.3448275862068966,7.0
Bucket1,Jharkhand,Rice,Retail,0.16464073514451077,0.9408312823978278,0.7275522142174623,-3871.36,0.37447179798026725,0.4294686842195956,0.20689655172413793,16.0
Bucket1,Karnataka,Rice,Retail,0.16464073514451077,0.9408312823978278,0.7275522142174623,-3871.36,0.37447179798026725,0.4294686842195956,0.20689655172413793,16.0
Bucket1,Kerala,Rice,Retail,0.573608543892659,0.9422520323023278,0.7789458068506241,-3871.36,0.2837863574144213,0.3311328559145326,0.3448275862068966,2.0
Bucket1,Madhya Pradesh,Rice,Retail,0.16464073514451077,0.9408312823978278,0.7275522142174623,-3871.36,0.37447179798026725,0.4294686842195956,0.20689655172413793,16.0
Bucket1,Maharashtra,Rice,Retail,0.16464073514451077,0.9408312823978278,0.7275522142174623,-3871.36,0.37447179798026725,0.4294686842195956,0.20689655172413793,16.0
Bucket1,Meghalaya,Rice,Retail,0.16464073514451077,0.9408312823978278,0.7275522142174623,-3871.36,0.37447179798026725,0.4294686842195956,0.20689655172413793,16.0
Bucket1,Mizoram,Rice,Retail,0.20099651445248193,0.9409855223201263,0.7303656807640004,-3871.36,0.36917714829364384,0.42453958436461453,0.2413793103448276,11.0
Bucket1,Nagaland,Rice,Retail,0.2785805402567254,0.9415005182973156,0.7246947254668917,-3871.36,0.37989137337206386,0.4289969465652299,0.3793103448275862,5.0
Bucket1,Odisha,Rice,Retail,0.16365236130443336,0.9408286535600683,0.7273774526051774,-3871.36,0.37480203217517505,0.42978031172486525,0.20689655172413793,17.0
Bucket1,Puducherry,Rice,Retail,0.2209760322991236,0.9411365563948028,0.7277486430061813,-3871.36,0.3741008102319559,0.4304174096139458,0.2413793103448276,10.0
Bucket1,Punjab,Rice,Retail,0.16365236130443336,0.9408286535600683,0.7273774526051774,-3871.36,0.37480203217517505,0.42978031172486525,0.20689655172413793,17.0
Bucket1,Rajasthan,Rice,Retail,0.16365236130443336,0.9408286535600683,0.7273774526051774,-3871.36,0.37480203217517505,0.42978031172486525,0.20689655172413793,17.0
Bucket1,Sikkim,Rice,Retail,0.19365467846683493,0.9410146086218989,0.7260135452891079,-3871.36,0.3773847698692551,0.4323633282677257,0.27586206896551724,12.0
Bucket1,Tamil Nadu,Rice,Retail,0.16365236130443336,0.9408286535600683,0.7273774526051774,-3871.36,0.37480203217517505,0.42978031172486525,0.20689655172413793,17.0
Bucket1,Telangana,Rice,Retail,0.16365236130443336,0.9408286535600683,0.7273774526051774,-3871.36,0.37480203217517505,0.42978031172486525,0.20689655172413793,17.0
Bucket1,Tripura,Rice,Retail,0.22104758958614054,0.9412723798954259,0.7192406770015911,-3871.36,0.39035517869880965,0.4470633034366432,0.27586206896551724,9.0
Bucket1,Uttar Pradesh,Rice,Retail,0.16365236130443336,0.9408286535600683,0.7273774526051774,-3871.36,0.37480203217517505,0.42978031172486525,0.20689655172413793,17.0
Bucket1,Uttarakhand,Rice,Retail,0.22784169054249737,0.9410457330743996,0.735815402340016,-3871.36,0.35903651489195926,0.4102253381055749,0.2413793103448276,8.0
